player,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct
Julian Champagnie,Off-Dribble Shooter,19.766584766584767,0.415706800448661,0.4932225610323728,0.4250614250614251
Julius Randle,Balanced Scorer,11.763907734056987,0.48899117989474006,0.4215352576351729,0.4898236092265943
Justin Champagnie,Balanced Scorer,10.292372881355933,0.5287079932748763,0.37490375700797723,0.5084745762711864
Jusuf Nurkić,Balanced Scorer,8.445820433436532,0.4954800503321054,0.32614504369250724,0.5077399380804953
Karl-Anthony Towns,Balanced Scorer,11.089869281045752,0.5074253954396971,0.36533843758391177,0.46568627450980393
Kawhi Leonard,Balanced Scorer,15.477379095163807,0.4396752486273443,0.46675271879066815,0.49765990639625585
Keegan Murray,Balanced Scorer,14.818532818532818,0.43754743005856234,0.4562554021729111,0.42857142857142855
Kel'el Ware,Balanced Scorer,9.716621253405995,0.5738670708587397,0.348808715696619,0.5395095367847411
Keldon Johnson,Balanced Scorer,10.104265402843602,0.5037338177732263,0.42129420934951634,0.5545023696682464
Kelly Oubre Jr.,Balanced Scorer,13.691119691119692,0.4724795973570693,0.4340700080389001,0.4942084942084942
Kentavious Caldwell-Pope,Balanced Scorer,17.63036303630363,0.4177816041526145,0.5122729698899502,0.40594059405940597
Kevin Durant,Balanced Scorer,15.83399209486166,0.437040896582562,0.4965695679089433,0.5138339920948617
Kevin Huerter,Off-Dribble Shooter,15.53968253968254,0.44597562423132675,0.4635888784226836,0.4576719576719577
Kevin Porter Jr.,Balanced Scorer,13.716666666666667,0.46695368741360066,0.466425773647224,0.44333333333333336
Keyonte George,Balanced Scorer,15.163781624500666,0.43214321471260647,0.4904265342042287,0.45539280958721706
Khris Middleton,Balanced Scorer,14.908088235294118,0.43917784061152465,0.49048317260949675,0.4264705882352941
Klay Thompson,Off-Dribble Shooter,21.056892778993436,0.3888354397853313,0.5383543443720535,0.38949671772428884
Kobe Sanders,Off-Dribble Shooter,15.919431279620854,0.44993847526842756,0.477921492010179,0.44549763033175355
Kon Knueppel,Balanced Scorer,17.04662379421222,0.43296484964457665,0.47251527678291333,0.48231511254019294
Kris Dunn,Off-Dribble Shooter,14.212765957446809,0.45179433114555717,0.42932515585048103,0.48936170212765956
Kristaps Porziņģis,Balanced Scorer,15.3,0.47020770155861563,0.42650580501806395,0.45714285714285713
Kyle Filipowski,Balanced Scorer,10.970674486803519,0.49374819766935535,0.40864047087258276,0.46920821114369504
Kyle Kuzma,Balanced Scorer,10.58695652173913,0.49343642489773976,0.4082797995121256,0.4927536231884058
Kyshawn George,Balanced Scorer,16.006681514476615,0.43705264092292473,0.48668709119016285,0.44766146993318484
LaMelo Ball,Balanced Scorer,17.45114006514658,0.41711444336876446,0.4778358899291473,0.40553745928338764
Lauri Markkanen,Balanced Scorer,13.550375939849625,0.4780349801548816,0.42167816467768676,0.47969924812030074
LeBron James,Balanced Scorer,11.815217391304348,0.49917421012822705,0.41865731278184004,0.5065217391304347
Luguentz Dort,Off-Dribble Shooter,20.068027210884352,0.40992509661795967,0.49405964747307884,0.3979591836734694
Luka Dončić,Balanced Scorer,17.22503008423586,0.4134328052171943,0.5202951903221562,0.470517448856799
Luke Kennard,Off-Dribble Shooter,18.522935779816514,0.4106255050297645,0.508515202458368,0.536697247706422
Malik Monk,Balanced Scorer,16.39331619537275,0.4281683115171907,0.49191842534337077,0.4498714652956298
Marcus Smart,Off-Dribble Shooter,17.72318339100346,0.41969779603346885,0.4608786760992698,0.4083044982698962
Mark Williams,Rim Pressure Slasher,2.9093851132686086,0.6476579081038271,0.2537899545446609,0.6601941747572816
Marvin Bagley III,Rim Pressure Slasher,4.333333333333333,0.6131860974253018,0.29434496988753855,0.6190476190476191
Matas Buzelis,Balanced Scorer,12.885436893203883,0.5036338676102076,0.4013643759296678,0.47572815533980584
Max Christie,Off-Dribble Shooter,16.979643765903308,0.4407413283033797,0.4879898800897979,0.48346055979643765
Maxime Raynaud,Balanced Scorer,7.756666666666667,0.4943237670971636,0.346086409635512,0.5333333333333333
Micah Peavy,Off-Dribble Shooter,11.870813397129186,0.4983173690387632,0.4431034693644285,0.3827751196172249
Michael Porter Jr.,Balanced Scorer,16.614825581395348,0.4494971773342121,0.46158516414648226,0.48255813953488375
Mikal Bridges,Off-Dribble Shooter,14.596912521440823,0.4601810267816439,0.46541277014836463,0.4974271012006861
Miles Bridges,Balanced Scorer,13.765832106038292,0.4701699803722347,0.4419124315218069,0.44624447717231225
Miles McBride,Off-Dribble Shooter,19.84806629834254,0.4012237157619874,0.5323672750958257,0.43370165745856354
Moses Moody,Off-Dribble Shooter,18.279596977329973,0.4215202692149897,0.48262590459381804,0.4282115869017632
Moussa Diabaté,Rim Pressure Slasher,2.6285714285714286,0.6580940079687585,0.2585676633974706,0.6333333333333333
Myles Turner,Off-Dribble Shooter,17.75421686746988,0.43343442914506014,0.45040264784007134,0.43373493975903615
Naji Marshall,Balanced Scorer,11.293598233995585,0.4698319009006867,0.42654891277477824,0.5452538631346578
Naz Reid,Balanced Scorer,15.914018691588785,0.4349076952914844,0.4700406833581169,0.47102803738317756
Neemias Queta,Rim Pressure Slasher,3.442906574394464,0.6307338009292831,0.2479273539682741,0.643598615916955
