player,PLAYER_ID,role,cluster_id,cluster_confidence,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct,pullup_rate,usage_pct,attempts_per_game,total_attempts,games_played,pct_rim,pct_midrange,pct_3pt,pct_corner_3,distance_std,distance_iqr,distance_entropy,layup_rate,dunk_rate,hook_rate,floater_rate
Jock Landale,1629111,Wing,Wing-1,0.9999999999999962,Wing – Paint-Dominant,11.086848635235732,0.4936515170859517,0.37285092917009527,0.5210918114143921,0.4491315136476427,0.18121292253198568,8.76086956521739,403,46,0.6104218362282878,0.04962779156327544,0.33995037220843677,0.08436724565756823,10.337821240686786,22.0,1.461660527240848,0.3027295285359802,0.052109181141439205,0.1935483870967742,0.02729528535980149
Duncan Robinson,1629130,Guard,Guard-3,1.0,Guard – Perimeter-Focused (Low Usage),20.734513274336283,0.3958021800044622,0.5191796243521616,0.4336283185840708,0.8827433628318584,0.14985543020054096,9.416666666666666,452,48,0.18805309734513276,0.022123893805309734,0.7898230088495575,0.21017699115044247,8.438132956358318,4.0,1.1447990474818674,0.1084070796460177,0.004424778761061947,0.004424778761061947,0.07964601769911504
Terance Mann,1629611,Wing,Wing-1,0.8030394398608378,Wing – Paint-Dominant,13.12406015037594,0.47629711919773876,0.4329054324245388,0.45112781954887216,0.6278195488721805,0.1345309955785943,6.186046511627907,266,43,0.5075187969924813,0.08270676691729323,0.4097744360902255,0.18045112781954886,10.414233006484418,22.0,1.589888711372553,0.31954887218045114,0.04887218045112782,0.0037593984962406013,0.041353383458646614
Andrew Nembhard,1629614,Wing,Wing-0,0.9976134070610656,Wing – Shot Creator (Mixed),15.710865561694291,0.43163709493370694,0.4837786877839442,0.44751381215469616,0.7753222836095764,0.2316905294362388,13.575,543,40,0.3830570902394107,0.24125230202578268,0.37569060773480667,0.034990791896869246,9.868097418773026,19.0,1.6318493309734259,0.21731123388581952,0.0055248618784530384,0.0,0.06445672191528545
Zion Williamson,1629627,Big,Big-0,1.0,Big – Paint-Dominant (Low Usage),3.217821782178218,0.5748092767369745,0.31594637339481363,0.5742574257425742,0.19603960396039605,0.2618668878102223,13.64864864864865,505,37,0.9742574257425742,0.019801980198019802,0.005940594059405941,0.0,3.456658976193514,3.0,0.8822735543344222,0.6554455445544555,0.10297029702970296,0.04356435643564356,0.10495049504950495
RJ Barrett,1629628,Wing,Wing-1,0.9999987619202669,Wing – Paint-Dominant,11.717761557177615,0.47873836256645247,0.3897098019370159,0.4793187347931874,0.6009732360097324,0.2547293116933907,14.172413793103448,411,29,0.6034063260340632,0.029197080291970802,0.36739659367396593,0.08759124087591241,10.440920941138469,22.0,1.4551032143990486,0.3333333333333333,0.0413625304136253,0.019464720194647202,0.17761557177615572
Ja Morant,1629630,Wing,Wing-1,0.9999662543652537,Wing – Paint-Dominant,12.003105590062113,0.4620952589570222,0.4333104666669942,0.40993788819875776,0.6832298136645962,0.3052357666373497,16.1,322,20,0.6180124223602484,0.11801242236024845,0.2639751552795031,0.037267080745341616,9.311667704246048,19.0,1.5902413770006334,0.2857142857142857,0.031055900621118012,0.0,0.18012422360248448
De'Andre Hunter,1629631,Wing,Wing-0,0.9999999895623214,Wing – Shot Creator (Mixed),16.196754563894523,0.43212645378892733,0.4869116206988598,0.4198782961460446,0.7971602434077079,0.21761472739120996,11.204545454545455,493,44,0.36105476673427994,0.15010141987829614,0.48884381338742394,0.11359026369168357,9.529363563929182,17.0,1.5183784441922543,0.1663286004056795,0.034482758620689655,0.002028397565922921,0.12170385395537525
Coby White,1629632,Wing,Wing-0,0.9981307493592804,Wing – Shot Creator (Mixed),15.885496183206106,0.44109012005895704,0.476353597292963,0.43765903307888043,0.6692111959287532,0.267435956210726,14.035714285714286,393,28,0.3969465648854962,0.0737913486005089,0.5292620865139949,0.05597964376590331,11.298348187045981,24.0,1.420741893499299,0.3231552162849873,0.002544529262086514,0.005089058524173028,0.04580152671755725
Darius Garland,1629636,Wing,Wing-0,0.8788665276731314,Wing – Shot Creator (Mixed),15.408488063660478,0.4255923578478357,0.4828736079582034,0.4509283819628647,0.7877984084880637,0.2501469517456175,14.5,377,26,0.4535809018567639,0.11140583554376658,0.4350132625994695,0.055702917771883284,10.16003497729627,19.0,1.6028613928499031,0.20689655172413793,0.0,0.002652519893899204,0.22546419098143236
Nickeil Alexander-Walker,1629638,Wing,Wing-0,0.9995173749345356,Wing – Shot Creator (Mixed),15.491905354919053,0.4421180765675212,0.47586342485465216,0.44084682440846823,0.6936488169364882,0.23848130150639146,15.745098039215685,803,51,0.40348692403486924,0.0784557907845579,0.5180572851805729,0.14570361145703611,10.446675984885134,22.0,1.4968755990543974,0.29265255292652553,0.007471980074719801,0.0049813200498132005,0.0660024906600249
Keldon Johnson,1629640,Wing,Wing-1,0.9999999999999439,Wing – Paint-Dominant,10.10901467505241,0.5021203736396274,0.4224406993330175,0.5513626834381551,0.4570230607966457,0.19551883963138667,9.352941176470589,477,51,0.649895178197065,0.014675052410901468,0.33542976939203356,0.17819706498951782,10.293215032620635,22.0,1.3761015054382475,0.4025157232704403,0.04821802935010482,0.07756813417190776,0.0880503144654088
Kevin Porter Jr.,1629645,Wing,Wing-0,0.773045011545364,Wing – Shot Creator (Mixed),13.503184713375797,0.47019575205090425,0.4639658687312344,0.445859872611465,0.6656050955414012,0.23390048997217955,13.083333333333334,314,24,0.4681528662420382,0.18471337579617833,0.3471337579617834,0.0732484076433121,9.936298192691213,21.0,1.5831078585005607,0.267515923566879,0.06369426751592357,0.0,0.06687898089171974
Nic Claxton,1629651,Big,Big-0,1.0,Big – Paint-Dominant (Low Usage),4.145278450363196,0.6060946323948042,0.3013091232392658,0.5811138014527845,0.16707021791767554,0.17032151420906438,8.604166666666666,413,48,0.9176755447941889,0.05084745762711865,0.031476997578692496,0.002421307506053269,5.291796933819555,4.0,1.0525883532732623,0.4116222760290557,0.2469733656174334,0.17433414043583534,0.08716707021791767
