player_name,team,salary,salary_millions
Vince Williams,MEM,2301587,2.301587
Keon Ellis,CLE,2301587,2.301587
Sion James,CHO,2296274,2.296274
Ryan Kalkbrenner,CHO,2296274,2.296274
Marvin Bagley,WAS,2296274,2.296274
Anthony Gill,WAS,2296274,2.296274
Garrett Temple,TOR,2296274,2.296274
Bismack Biyombo,SAS,2296274,2.296274
Lindy Waters,SAS,2296274,2.296274
Jordan McLaughlin,SAS,2296274,2.296274
Russell Westbrook,SAC,2296274,2.296274
Doug McDermott,SAC,2296274,2.296274
Drew Eubanks,SAC,2296274,2.296274
Blake Wesley,POR,7022602,7.022602
Collin Gillespie,PHO,2296274,2.296274
Kyle Lowry,PHI,2296274,2.296274
Eric Gordon,PHI,2296274,2.296274
Landry Shamet,NYK,2296274,2.296274
Jordan Clarkson,NYK,16581988,16.581988
Bones Hyland,MIN,2296274,2.296274
Joe Ingles,MIN,2296274,2.296274
Thanasis Antetokounmpo,MIL,2296274,2.296274
Amir Coffey,MIL,2296274,2.296274
Cole Anthony,MIL,15396274,15.396274
Jock Landale,MEM,10296274,10.296274
Chris Paul,LAC,2296274,2.296274
Josh Okogie,HOU,2296274,2.296274
Jeff Green,HOU,2296274,2.296274
Aaron Holiday,HOU,2296274,2.296274
Jae'Sean Tate,HOU,2296274,2.296274
Gary Payton,GSW,2296274,2.296274
Javonte Green,DET,2296274,2.296274
Tim Hardaway,DEN,2296274,2.296274
Bruce Brown,DEN,2296274,2.296274
Dante Exum,DAL,2296274,2.296274
Thomas Bryant,CLE,2296274,2.296274
Larry Nance,CLE,2296274,2.296274
Mason Plumlee,CHO,2296274,2.296274
Chris Boucher,BOS,2296274,2.296274
Scotty Pippen,MEM,2270735,2.270735
JD Davison,BOS,2270735,2.270735
Brandon Williams,DAL,2270735,2.270735
Moussa DiabatÃ©,CHO,2270735,2.270735
DeAndre Jordan,NOP,2269880,2.26988
Toumani Camara,POR,2221677,2.221677
Rayan Rupert,POR,2221677,2.221677
Ricky Council,PHI,2221677,2.221677
GG Jackson,MEM,2221677,2.221677
Gui Santos,GSW,2221677,2.221677
Jalen Pickett,DEN,2221677,2.221677
Hunter Tyson,DEN,2221677,2.221677
Julian Phillips,CHI,2221677,2.221677
Jalen Wilson,BRK,2221677,2.221677
Jordan Walsh,BOS,2221677,2.221677
Leonard Miller,MIN,2221677,2.221677
Andre Jackson,MIL,2221677,2.221677
Trayce Jackson-Davis,GSW,2221677,2.221677
Craig Porter,CLE,2221677,2.221677
Duop Reath,ATL,2221677,2.221677
Mouhamed Gueye,ATL,2221677,2.221677
JaVale McGee,DAL,2208856,2.208856
Tyler Kolek,NYK,2191897,2.191897
Jaylen Clark,MIN,2191897,2.191897
Tyrese Martin,BRK,2191897,2.191897
Precious Achiuwa,SAC,2111516,2.111516
Justin Edwards,PHI,2048494,2.048494
Nigel Hayes-Davis,PHO,2048494,2.048494
N'Faly Dante,ATL,2048494,2.048494
Tyler Smith,MIL,1955377,1.955377
Johnny Furphy,IND,1955377,1.955377
Jonathan Mogbo,TOR,1955377,1.955377
Jamal Shead,TOR,1955377,1.955377
Oso Ighodaro,PHO,1955377,1.955377
Ariel Hukporti,NYK,1955377,1.955377
Karlo MatkoviÄ,NOP,1955377,1.955377
Keshad Johnson,MIA,1955377,1.955377
Jaylen Wells,MEM,1955377,1.955377
Bronny James,LAL,1955377,1.955377
Cam Christie,LAC,1955377,1.955377
Quinten Post,GSW,1955377,1.955377
Isaac Jones,DET,1955377,1.955377
Bobi Klintman,DET,1955377,1.955377
Drew Timme,BRK,1955377,1.955377
Jamison Battle,TOR,1955377,1.955377
Adem Bona,PHI,1955377,1.955377
Pelle Larsson,MIA,1955377,1.955377
Chaz Lanier,DET,1372870,1.37287
Rasheer Fleming,PHO,1272870,1.27287
Maxime Raynaud,SAC,1272870,1.27287
Johni Broome,PHI,1272870,1.27287
Noah Penda,ORL,1272870,1.27287
Micah Peavy,NOP,1272870,1.27287
Adou Thiero,LAL,1272870,1.27287
Will Richard,GSW,1272870,1.27287
Tyrese Proctor,CLE,1272870,1.27287
Mohamed Diawara,NYK,1272870,1.27287
Kam Jones,IND,1272870,1.27287
Nikola Djurisic,ATL,1272870,1.27287
Olivier-Maxence Prosper,DAL,1002360,1.00236
James Wiseman,IND,1000000,1.0
E.J. Liddell,PHO,706898,0.706898
Mamadi Diakite,MEM,464050,0.46405
Ricky Rubio,CLE,424672,0.424672
Monte Morris,IND,321184,0.321184
Didi Louzada,POR,268032,0.268032
Mac McClung,IND,164060,0.16406
Garrison Mathews,IND,131970,0.13197
Garrison Mathews,IND,131970,0.13197
Jaden Springer,NOP,70732,0.070732
